.	0	2	14	21	27	32	
.	90	2	14	21	27	32	36	
.	90	1544	375805	413835	534440	968788	3454888	
.	91	2	14	21	27	32	36	
.	91	1381	376569	412073	539802	976728	3454888	
.	92	2	14	21	27	32	36	
.	92	1810	374071	408495	541382	981882	3454888	
.	93	2	14	21	27	32	36	
.	93	1168	373369	406410	547654	990465	3454888	
.	94	2	14	21	27	32	36	
.	94	1285	370862	402433	550387	1002255	3454888	
.	95	2	14	21	27	32	36	
.	95	1124	370538	401793	554950	1011675	3454888	
.	96	2	14	21	27	32	36	
.	96	1137	369822	400149	558488	1020954	3454888	
.	97	2	14	21	27	32	36	
.	97	938	368919	398964	559344	1025235	3454888	
.	98	2	14	21	27	32	36	
.	98	871	368299	398411	563165	1036010	3454888	
.	99	2	14	21	27	32	36	
.	99	754	371411	401664	567794	1042907	3454888	
.	100	2	14	21	27	32	36	
.	100	740	372836	402691	569801	1050281	3454888	
.	101	2	14	21	27	32	36	
.	101	800	373982	403846	574019	1060250	3454888	
.	102	2	14	21	27	32	36	
.	102	588	380105	411096	584482	1071222	3454888	
.	103	2	14	21	27	32	36	
.	103	772	382257	414294	595778	1082880	3454888	
.	104	2	14	21	27	32	36	
.	104	399	386637	419551	604877	1090942	3454888	
.	105	2	14	21	27	32	36	
.	105	504	391621	425048	614885	1097138	3454888	
.	106	2	14	21	27	32	36	
.	106	342	395945	429392	623057	1098658	3454888	
.	107	2	14	21	27	32	36	
.	107	498	397331	430350	631415	1101096	3454888	
.	108	2	14	21	27	32	36	
.	108	247	399540	432343	636470	1100020	3454888	
.	109	2	14	21	27	32	36	
.	109	267	403345	435222	641941	1099635	3454888	
.	110	2	14	21	27	32	36	
.	110	347	406978	438211	651321	1114691	3454888	
.	111	2	14	21	27	32	36	
.	111	291	410781	441020	659591	1126325	3454888	
.	112	2	14	21	27	32	36	
.	112	315	407864	437032	661597	1134368	3454888	
.	113	2	14	21	27	32	36	
.	113	119	409817	437255	667731	1145843	3454888	
.	114	2	14	21	27	32	36	
.	114	117	412493	439148	677296	1161032	3454888	
.	115	2	14	21	27	32	36	
.	115	102	407249	431185	676709	1168740	3454888	
.	116	2	14	21	27	32	36	
.	116	84	409380	432239	676907	1166576	3454888	
.	117	2	14	21	27	32	36	
.	117	35	406701	427317	679158	1171694	3454888	
.	118	2	14	21	27	32	36	
.	118	135	406685	425660	674307	1166853	3454888	
.	119	2	14	21	27	32	36	
.	119	26	405905	422876	678895	1179592	3454888	
.	120	2	14	21	27	32	36	
.	120	134	404117	419372	676112	1178217	3454888	
.	121	2	14	21	27	32	36	
.	121	115	404485	418897	673451	1172991	3454888	
.	122	2	14	21	27	32	36	
.	122	252	406042	419747	681957	1189257	3454888	
.	123	2	14	21	27	32	36	
.	123	344	407210	420397	684545	1198423	3454888	
.	124	2	14	21	27	32	36	
.	124	352	407634	420432	681213	1196365	3454888	
.	125	2	14	21	27	32	36	
.	125	470	407859	419964	688501	1219035	3454888	
.	126	2	14	21	27	32	36	
.	126	703	410197	422902	692682	1230085	3454888	
.	127	2	14	21	27	32	36	
.	127	714	410042	423339	689047	1234284	3454888	
.	128	2	14	21	27	32	36	
.	128	912	412682	425854	691112	1236118	3454888	
.	129	2	14	21	27	32	36	
.	129	641	411947	427064	697301	1263996	3454888	
.	130	2	14	21	27	32	36	
.	130	572	412804	427265	693711	1255782	3454888	
.	131	2	14	21	27	32	36	
.	131	643	415449	431434	699958	1277439	3454888	
.	132	2	14	21	27	32	36	
.	132	755	414423	430935	697883	1283660	3454888	
.	133	2	14	21	27	32	36	
.	133	507	420644	437876	702587	1288065	3454888	
.	134	2	14	21	27	32	36	
.	134	265	418854	437551	698098	1294992	3454888	
