.	15	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	
.	15	6491	24624	159789	251162	402433	540082	690249	902655	1189688	1495980	1822003	2165438	2543671	2880419	3333942	3731818	4069160	4499812	4951569	5360351	5914929	6372377	7021425	7548575	8296276	8887859	9582246	10534071	11270032	12502506	13425379	14487411	15728876	17166698	18637477	20304571	21847906	24277021	26203806	29531252	666012608	
.	16	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	
.	16	7710	25787	160848	253551	409771	549176	701288	915060	1205404	1513719	1842264	2187935	2565954	2904200	3363457	3767374	4107064	4542185	5000571	5415108	5975432	6436840	7091775	7623714	8377408	8975515	9674952	10635172	11375019	12618027	13549803	14616801	15865778	17315142	18796893	20472316	22021584	24462407	26390419	29722051	666012608	
.	17	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	
.	17	12	19717	154767	247152	400587	537462	689046	904883	1198813	1510350	1843277	2192162	2574642	2912095	3385860	3793193	4132564	4573879	5037869	5450263	6015706	6473590	7135904	7665297	8428957	9022116	9718352	10684304	11419154	12667640	13592356	14650364	15893169	17350921	18820950	20482349	22019218	24463525	26387363	29729204	666012608	
.	18	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	
.	18	329	19775	153011	245426	397000	533918	685435	902510	1196778	1508401	1841586	2191064	2575470	2914277	3395309	3805527	4144952	4588283	5054774	5468258	6039029	6499594	7168685	7699519	8469355	9064455	9764244	10740883	11479176	12741280	13671132	14736150	15980163	17450419	18926567	20598815	22144572	24604605	26536460	29895825	666012608	
.	19	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	
.	19	13	18257	150027	240828	391018	525960	674278	887923	1177892	1486190	1814098	2159168	2537212	2871610	3342239	3746570	4080687	4518618	4978373	5388061	5950251	6405148	7064885	7589672	8352067	8940240	9630572	10594761	11326016	12573230	13491793	14546149	15783668	17238313	18704304	20362795	21893836	24334944	26252330	29591063	666012608	
.	20	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	
.	20	19036	152754	245107	398154	534462	686859	904323	1199267	1511677	1845420	2193832	2576578	2912751	3390736	3800503	4138659	4580915	5046963	5459695	6029370	6487502	7155667	7683122	8453082	9045566	9742552	10715547	11451493	12705924	13631846	14690483	15930763	17397289	18870891	20533405	22071284	24524907	26447138	29790184	666012608	
.	21	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	
.	21	51718	71126	208513	303225	459649	599693	754505	976578	1277020	1596566	1936136	2289159	2676164	3017646	3501061	3916272	4260011	4709368	5180450	5598718	6171650	6634560	7307692	7840650	8618286	9215441	9917329	10898316	11642428	12905547	13839788	14907378	16158868	17633864	19120351	20796904	22351243	24816556	26752272	30108073	666012608	
.	22	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	
.	22	1433	19869	154333	246645	398938	536811	688326	903485	1194937	1506008	1836797	2183676	2565822	2902208	3367442	3771706	4109113	4544859	5004798	5414861	5977983	6434766	7094130	7620029	8380337	8971171	9664753	10628768	11363059	12609875	13535096	14595090	15835190	17288475	18764092	20425920	21961740	24402856	26324327	29654779	666012608	
.	23	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	
.	23	33231	52020	187398	280273	434948	573704	726696	945312	1241232	1556582	1890761	2239834	2622687	2959155	3429147	3837698	4175957	4615537	5078819	5489679	6055672	6513790	7176417	7704406	8470660	9063136	9760358	10729106	11468591	12719652	13650138	14714645	15959303	17419542	18900200	20565653	22107505	24560179	26487910	29819345	666012608	
